Tempo,X,Y,Theta
0.05043673515319824,0.0,0.0,0.0
0.10079121589660645,0.0,0.0,0.0
0.151076078414917,0.0,0.0,0.0
0.2013227939605713,0.0,0.0,0.0
0.25150012969970703,0.0,0.0,0.0
0.3016376495361328,0.0,0.0,0.0
0.3517754077911377,0.0,0.0,0.0
0.4019155502319336,0.0,0.0,0.0
0.4520542621612549,0.0,0.0,0.0
0.5021870136260986,0.0,0.0,0.0
0.5523190498352051,0.0,0.0,0.0
0.6024768352508545,0.0,0.0,0.0
0.6526849269866943,0.0,0.0,0.0
0.7029125690460205,0.0,0.0,0.0
0.753166675567627,0.0,0.0,0.0
0.8033463954925537,0.0,0.0,0.0
0.8535022735595703,0.0,0.0,0.0
0.9036703109741211,0.0,0.0,0.0
0.9537978172302246,0.0,0.0,0.0
1.0042076110839844,0.0,0.0,0.0
1.0544817447662354,0.0,0.0,-2.8895999999999993
1.1047389507293701,0.0015710102852418144,-0.0001257161094412191,-6.260799999999999
1.1550695896148682,0.0015710102852418144,-0.0001257161094412191,-10.1136
1.205338478088379,0.0031109781053632497,-0.0004609428528538513,-14.448
1.2555971145629883,0.0046249405355803675,-0.0008988876169505132,-17.8192
1.305854082107544,0.0046249405355803675,-0.0008988876169505132,-21.671999999999997
1.3561451435089111,0.006071814277918962,-0.0015237349825044638,-25.0432
1.4064099788665771,0.008881083295793991,-0.0029532520377514057,-28.896
1.456730842590332,0.010231110476516717,-0.0037664583263513243,-33.230399999999996
1.5069799423217773,0.012808173224622112,-0.005581467697776685,-37.0832
1.5572054386138916,0.014036972621179304,-0.006568346565485018,-40.4544
1.6074721813201904,0.016347402771131378,-0.00871250699516999,-45.270399999999995
1.6577348709106445,0.016347402771131378,-0.00871250699516999,-50.08639999999999
1.7083184719085693,0.016347402771131378,-0.00871250699516999,-54.90239999999999
1.758584976196289,0.01804979368260491,-0.011365312417843639,-59.718399999999995
1.808830738067627,0.01804979368260491,-0.011365312417843639,-64.5344
1.8590795993804932,0.01867314575441803,-0.012812831001860748,-68.86880000000001
1.909308671951294,0.019185315285148823,-0.014303320930810152,-73.20320000000001
1.9622385501861572,0.019185315285148823,-0.014303320930810152,-78.01920000000001
2.0125300884246826,0.019453939584252594,-0.015856291903635984,-82.35360000000001
2.062796115875244,0.019604426066913417,-0.017425123212300168,-86.68800000000002
2.1131293773651123,0.019604426066913417,-0.017425123212300168,-90.54080000000002
2.1634161472320557,0.01946873769996171,-0.02057426596757634,-94.39360000000003
2.213696002960205,0.01930183100579107,-0.022141435394265628,-97.76480000000002
2.263949155807495,0.019029998114854972,-0.023693847947652752,-102.09920000000002
2.3142240047454834,0.018654467727597802,-0.025224486632893357,-105.47040000000004
2.3645005226135254,0.017221876334302385,-0.029730325357085925,-109.80480000000004
2.4147472381591797,0.01663219842038145,-0.03119188541891796,-114.13920000000005
2.4649858474731445,0.01663219842038145,-0.03119188541891796,-117.99200000000003
2.5152297019958496,0.01663219842038145,-0.03119188541891796,-121.84480000000002
2.5654830932617188,0.01663219842038145,-0.03119188541891796,-125.69760000000002
2.615776538848877,0.01470793551263343,-0.033688427765424335,-129.55040000000002
2.6660585403442383,0.01470793551263343,-0.033688427765424335,-133.4032
2.7166662216186523,0.01246630451558475,-0.03590441555851006,-137.256
2.766927480697632,0.011269253198896788,-0.036929572132758215,-141.5904
2.8171799182891846,0.008734894775396667,-0.038803748967336106,-145.4432
2.8674585819244385,0.008734894775396667,-0.038803748967336106,-150.2592
2.9176859855651855,0.007337873007568158,-0.03953327486593184,-154.59359999999998
2.967925548553467,0.004446801825577682,-0.04078914860429036,-158.44639999999998
3.0181832313537598,0.004446801825577682,-0.04078914860429036,-162.29919999999998
3.0684313774108887,0.002928336343856743,-0.04121121546786839,-166.63359999999997
3.1187314987182617,0.0013823150458157042,-0.041517313495487165,-170.968
3.169011116027832,-0.001745541262100994,-0.04190721905207765,-174.82079999999996
3.2193644046783447,-0.003319396369388088,-0.04199003183958619,-179.15519999999998
3.269618511199951,-0.003319396369388088,-0.04199003183958619,-183.00799999999998
3.31984806060791,-0.003319396369388088,-0.04199003183958619,-186.86079999999995
3.370149612426758,-0.00487590444000548,-0.04174272538473406,-191.19519999999997
3.4203901290893555,-0.007945670088074635,-0.04102714849021539,-195.04799999999994
3.4709935188293457,-0.009451095965975712,-0.04056070365676306,-199.38239999999996
3.5212810039520264,-0.010916963535681787,-0.03998181668628211,-203.71679999999998
3.5715646743774414,-0.010916963535681787,-0.03998181668628211,-208.53279999999995
3.621932029724121,-0.010916963535681787,-0.03998181668628211,-213.34879999999995
3.672581195831299,-0.012192039264354084,-0.03905550154408729,-218.64639999999994
3.7228541374206543,-0.013384843459315466,-0.0380254063984861,-222.98079999999996
3.773106336593628,-0.014496384229357673,-0.0369081083303581,-227.31519999999995
3.8233981132507324,-0.014496384229357673,-0.0369081083303581,-231.16799999999995
3.8736472129821777,-0.016389193940313868,-0.03438763559213133,-235.02079999999995
3.923893690109253,-0.01725432449821853,-0.03307027953764637,-238.39199999999994
3.9741575717926025,-0.018815162884300407,-0.030331795475511313,-242.24479999999994
4.024408578872681,-0.0195077701939991,-0.028916107313852628,-245.61599999999996
4.07468056678772,-0.021295521567613232,-0.02453902543950778,-249.95039999999992
4.1249895095825195,-0.021295521567613232,-0.02453902543950778,-253.80319999999992
4.1752543449401855,-0.022046796057774837,-0.02147780051042027,-258.6191999999999
4.225503444671631,-0.022046796057774837,-0.02147780051042027,-262.4719999999999
4.27573299407959,-0.022046796057774837,-0.02147780051042027,-267.28799999999995
4.326021671295166,-0.022061781619956602,-0.019901839441918038,-271.6223999999999
4.376306772232056,-0.02195761725640621,-0.018329253151161712,-275.9567999999999
4.4265453815460205,-0.021748020919196944,-0.016767220106717048,-279.3279999999999
4.476819753646851,-0.0214339399959381,-0.015222800788606362,-283.6623999999999
4.527046203613281,-0.0214339399959381,-0.015222800788606362,-287.5151999999999
4.57728385925293,-0.02091561475201748,-0.013734440349054425,-290.88639999999987
4.627798318862915,-0.02091561475201748,-0.013734440349054425,-294.73919999999987
4.678260803222656,-0.018811503627646473,-0.009500338663351114,-298.11039999999986
4.728545904159546,-0.017233718359694353,-0.006771583439028554,-301.96319999999986
4.778804063796997,-0.014580885915814837,-0.00285784089086859,-306.2975999999999
4.829083204269409,-0.013600540673531744,-0.0016238226323158629,-310.63199999999983
4.879324436187744,-0.011468669049379838,0.0006979514316641632,-314.48479999999984
4.929585933685303,-0.012614756521587424,-0.00038388097798043174,-318.8191999999998
4.979839324951172,-0.011398567264180341,0.0006184969680440261,-322.1903999999998
5.030169725418091,-0.010125538176948523,0.0015476227935221096,-325.5615999999998
5.0804619789123535,-0.0114290809944815,0.0006618158284519582,-326.0431999999998
5.130754232406616,-0.0114290809944815,0.0006618158284519582,-326.0431999999998
5.181075811386108,-0.0114290809944815,0.0006618158284519582,-326.0431999999998
5.2313103675842285,-0.0114290809944815,0.0006618158284519582,-326.0431999999998
5.281491279602051,-0.0114290809944815,0.0006618158284519582,-326.0431999999998
5.331659317016602,-0.0114290809944815,0.0006618158284519582,-326.0431999999998
5.381829261779785,-0.0114290809944815,0.0006618158284519582,-326.0431999999998
5.432032585144043,-0.0114290809944815,0.0006618158284519582,-326.0431999999998
5.482333660125732,-0.0114290809944815,0.0006618158284519582,-326.0431999999998
5.532546520233154,-0.0114290809944815,0.0006618158284519582,-326.0431999999998
